ax,ay,az,gyro_x,gyro_y,gyro_z,label
-0.02246094,0.00830078,0.99951172,0.06103516,0.06103516,0.,-1
-0.02246094,0.00830078,0.99951172,0.06103516,0.06103516,0.,-1
-0.02246094,0.00732422,1.00048828,0.06103516,0.06103516,0.,-1
-0.02246094,0.00732422,1.00048828,0.06103516,0.06103516,0.,-1
-0.02294922,0.00732422,0.99951172,0.30517578,0.18310547,0.,-1
-0.02294922,0.00732422,0.99951172,0.30517578,0.18310547,0.,-1
-0.02099609,0.00830078,0.99804688,0.54931641,0.36621094,0.,-1
-0.02099609,0.00830078,0.99804688,0.54931641,0.36621094,0.,-1
-0.02050781,0.00878906,1.,0.24414062,0.18310547,0.,-1
-0.02050781,0.00878906,1.,0.24414062,0.18310547,0.,-1
-0.02880859,0.00634766,0.99853516,0.18310547,0.18310547,0.,-1
-0.02880859,0.00634766,0.99853516,0.18310547,0.18310547,0.,-1
-0.02148438,0.00830078,0.99902344,0.,0.,0.,-1
-0.02148438,0.00830078,0.99902344,0.,0.,0.,-1
-0.01855469,0.00830078,0.99853516,0.,-0.06103516,0.,-1
-0.01855469,0.00830078,0.99853516,0.,-0.06103516,0.,-1
-0.02490234,0.00732422,0.99951172,0.18310547,0.12207031,0.,-1
-0.02490234,0.00732422,0.99951172,0.18310547,0.12207031,0.,-1
-0.01953125,0.00927734,0.99853516,0.12207031,0.06103516,0.,-1
-0.01953125,0.00927734,0.99853516,0.12207031,0.06103516,0.,-1
-0.02783203,0.00732422,0.99951172,0.12207031,0.06103516,0.,-1
-0.02783203,0.00732422,0.99951172,0.12207031,0.06103516,0.,-1
-0.02197266,0.00927734,0.99853516,0.,0.,0.,-1
-0.02197266,0.00927734,0.99853516,0.,0.,0.,-1
-0.02148438,0.00878906,0.99853516,-0.18310547,-0.12207031,0.,-1
-0.02148438,0.00878906,0.99853516,-0.18310547,-0.12207031,0.,-1
-0.02490234,0.00732422,0.99951172,-0.06103516,-0.06103516,0.,-1
-0.02490234,0.00732422,0.99951172,-0.06103516,-0.06103516,0.,-1
-0.01904297,0.00830078,0.99902344,-0.06103516,0.,0.,-1
-0.01904297,0.00830078,0.99902344,-0.06103516,0.,0.,-1
-0.0234375,0.00732422,0.99951172,0.12207031,0.06103516,0.,-1
-0.0234375,0.00732422,0.99951172,0.12207031,0.06103516,0.,-1
-0.02294922,0.00878906,0.99951172,0.12207031,0.06103516,0.,-1
-0.02294922,0.00878906,0.99951172,0.12207031,0.06103516,0.,-1
