ax,ay,az,gyro_x,gyro_y,gyro_z,label
0.02197266,-0.03173828,-0.99902344,0.,0.,0.,0
0.02148438,-0.03222656,-1.,0.,0.,0.,0
0.02148438,-0.03320312,-1.00195312,0.,0.,0.,0
0.02099609,-0.03222656,-1.00048828,0.,0.,0.,0
0.02099609,-0.03222656,-1.00048828,0.,0.,0.,0
0.02001953,-0.03271484,-0.99902344,0.,0.,0.,0
0.02246094,-0.03173828,-1.00048828,0.,0.,0.,0
0.02050781,-0.03173828,-1.00048828,0.,0.,0.,0
0.02099609,-0.03320312,-1.,0.,0.,0.,0
0.02001953,-0.03369141,-1.00146484,0.,0.,0.,0
0.02099609,-0.03369141,-1.00195312,0.,0.,0.,0
0.02197266,-0.03222656,-1.00244141,0.,0.,0.,0
0.02246094,-0.03173828,-1.,0.,0.,0.,0
0.02050781,-0.03076172,-0.99804688,0.,0.,0.,0
0.02148438,-0.02978516,-1.,0.,0.,0.,0
0.02197266,-0.03027344,-1.,0.,0.,0.,0
0.02148438,-0.03466797,-1.00097656,0.,0.,0.,0
0.02294922,-0.03369141,-1.00292969,0.,0.,0.,0
0.02050781,-0.03417969,-1.00146484,0.,0.,0.,0
0.02050781,-0.03417969,-0.99951172,0.,0.,0.,0
0.02294922,-0.03125,-1.00292969,0.,0.,0.,0
0.02392578,-0.02978516,-0.99755859,0.,0.,0.,0
0.0234375,-0.03173828,-1.00048828,0.,0.,0.,0
0.02246094,-0.03515625,-1.00439453,0.,0.,0.,0
0.01806641,-0.03417969,-0.99707031,0.,0.,0.,0
0.01708984,-0.03222656,-0.99853516,0.,0.,0.,0
0.02050781,-0.03417969,-1.00390625,0.,0.,0.,0
0.02294922,-0.03320312,-1.00048828,0.,0.,0.,0
0.02685547,-0.02978516,-0.99707031,0.,0.,0.,0
0.02490234,-0.03125,-0.99951172,0.,0.,0.,0
0.02099609,-0.03271484,-1.00097656,0.,0.,0.,0
0.01904297,-0.03125,-1.,0.,0.,0.,0
0.01904297,-0.03320312,-0.99951172,0.,0.,0.,0
0.02099609,-0.03417969,-1.00195312,0.,0.,0.,0
0.02294922,-0.03173828,-1.,0.,0.,0.,0
0.02294922,-0.02978516,-0.99804688,0.,0.,0.,0
0.02050781,-0.02978516,-0.99951172,0.,0.,0.,0
0.02197266,-0.02978516,-1.00146484,0.,0.,0.,0
0.02001953,-0.03222656,-0.99951172,0.,0.,0.,0
0.02050781,-0.03417969,-0.99951172,0.,0.,0.,0
0.02001953,-0.03320312,-1.00146484,0.,0.,0.,0
0.02148438,-0.03271484,-1.00097656,0.,0.,0.,0
0.02099609,-0.03271484,-1.00146484,0.,0.,0.,0
0.02197266,-0.03027344,-1.00097656,0.,0.,0.,0
0.02392578,-0.03027344,-0.99951172,0.,0.,0.,0
0.02197266,-0.03320312,-1.00048828,0.,0.,0.,0
0.01953125,-0.03369141,-1.00048828,0.,0.,0.,0
0.01806641,-0.03271484,-1.00195312,0.,0.,0.,0
0.01855469,-0.03369141,-1.00146484,0.,0.,0.,0
0.02099609,-0.03222656,-1.00097656,0.,0.,0.,0
0.02392578,-0.03027344,-1.,0.,0.,0.,0
0.02539062,-0.02978516,-0.99902344,0.,0.,0.,0
0.0234375,-0.03222656,-0.99853516,0.,0.,0.,0
0.02148438,-0.03222656,-1.00146484,0.,0.,0.,0
0.02050781,-0.03222656,-1.00195312,0.,0.,0.,0
0.02001953,-0.03320312,-1.00097656,0.,0.,0.,0
0.02050781,-0.03369141,-1.00048828,0.,0.,0.,0
0.02197266,-0.03222656,-1.00244141,0.,0.,0.,0
0.02294922,-0.03173828,-0.99902344,0.,0.,0.,0
0.02197266,-0.03173828,-0.99902344,0.,0.,0.,0
0.02148438,-0.03222656,-1.00195312,0.,0.,0.,0
0.02148438,-0.03173828,-1.,0.,0.,0.,0
0.02001953,-0.03076172,-1.00048828,0.,0.,0.,0
0.02099609,-0.03320312,-1.00097656,0.,0.,0.,0
0.02050781,-0.03320312,-1.00048828,0.,0.,0.,0
0.02050781,-0.03271484,-1.,0.,0.,0.,0
0.02148438,-0.03222656,-0.99951172,0.,0.,0.,0
0.02148438,-0.03222656,-1.00195312,0.,0.,0.,0
0.02148438,-0.03320312,-1.,0.,0.,0.,0
0.02148438,-0.03222656,-0.99902344,0.,0.,0.,0
0.02148438,-0.03320312,-1.00048828,0.,0.,0.,0
0.02148438,-0.03222656,-1.00097656,0.,0.,0.,0
0.02294922,-0.03222656,-1.,0.,0.,0.,0
0.02099609,-0.03222656,-0.99853516,0.,0.,0.,0
0.02148438,-0.03125,-1.00048828,0.,0.,0.,0
0.02148438,-0.03320312,-0.99951172,0.,0.,0.,0
0.02197266,-0.03173828,-0.99951172,0.,0.,0.,0
0.02197266,-0.03173828,-0.99951172,0.,0.,0.,0
0.02197266,-0.03222656,-1.,0.,0.,0.,0
0.02050781,-0.03320312,-1.00146484,0.,0.,0.,0
0.02099609,-0.03417969,-1.00048828,0.,0.,0.,0
0.02148438,-0.03320312,-1.,0.,0.,0.,0
0.02050781,-0.03222656,-0.99853516,0.,0.,0.,0
0.02246094,-0.03271484,-1.,0.,0.,0.,0
0.02148438,-0.03173828,-1.,0.,0.,0.,0
0.02197266,-0.03222656,-1.00048828,0.,0.,0.,0
0.02148438,-0.03173828,-1.00195312,0.,0.,0.,0
0.02148438,-0.03222656,-1.,0.,0.,0.,0
0.02246094,-0.03173828,-0.99853516,0.,0.,0.,0
0.02148438,-0.03222656,-1.00048828,0.,0.,0.,0
0.02148438,-0.03173828,-1.00048828,0.,0.,0.,0
0.02099609,-0.03222656,-1.00048828,0.,0.,0.,0
0.02246094,-0.03320312,-1.,0.,0.,0.,0
0.02148438,-0.03222656,-1.00146484,0.,0.,0.,0
0.02148438,-0.03076172,-1.,0.,0.,0.,0
0.02197266,-0.03173828,-0.99902344,0.,0.,0.,0
0.02197266,-0.03173828,-1.00244141,0.,0.,0.,0
0.02246094,-0.03125,-0.99951172,0.,0.,0.,0
0.02197266,-0.03027344,-0.99853516,0.,0.,0.,0
0.02050781,-0.03466797,-1.00195312,0.,0.,0.,0
0.02148438,-0.03320312,-1.00048828,0.,0.,0.,0
0.02148438,-0.03222656,-1.00048828,0.,0.,0.,0
0.02197266,-0.03320312,-0.99853516,0.,0.,0.,0
0.02197266,-0.03271484,-1.00048828,0.,0.,0.,0
0.02099609,-0.03125,-1.,0.,0.,0.,0
0.02246094,-0.03222656,-1.,0.,0.,0.,0
0.02148438,-0.03173828,-1.00146484,0.,0.,0.,0
0.02050781,-0.03222656,-0.99853516,0.,0.,0.,0
0.02099609,-0.03271484,-0.99902344,0.,0.,0.,0
0.02050781,-0.03320312,-1.00195312,0.,0.,0.,0
0.02099609,-0.03320312,-1.00097656,0.,0.,0.,0
0.02001953,-0.03076172,-0.99853516,0.,0.,0.,0
0.02099609,-0.03271484,-1.00097656,0.,0.,0.,0
0.02294922,-0.03271484,-1.00146484,0.,0.,0.,0
0.02148438,-0.03076172,-1.,0.,0.,0.,0
0.02099609,-0.03125,-0.99951172,0.,0.,0.,0
0.02148438,-0.03271484,-0.99951172,0.,0.,0.,0
0.02099609,-0.03271484,-1.00146484,0.,0.,0.,0
0.02294922,-0.03173828,-1.,0.,0.,0.,0
0.02197266,-0.03222656,-1.,0.,0.,0.,0
0.02197266,-0.03271484,-1.00146484,0.,0.,0.,0
0.02099609,-0.03173828,-1.00048828,0.,0.,0.,0
0.02197266,-0.03271484,-1.,0.,0.,0.,0
0.02294922,-0.03271484,-0.99853516,0.,0.,0.,0
0.02099609,-0.03320312,-1.,0.,0.,0.,0
0.02099609,-0.03222656,-1.00048828,0.,0.,0.,0
0.02050781,-0.03125,-1.00244141,0.,0.,0.,0
0.01953125,-0.03125,-1.,0.,0.,0.,0
0.02099609,-0.03173828,-1.00048828,0.,0.,0.,0
0.02099609,-0.03125,-1.,0.,0.,0.,0
0.02246094,-0.03173828,-1.00048828,0.,0.,0.,0
0.02197266,-0.03320312,-1.00048828,0.,0.,0.,0
0.02099609,-0.03125,-1.,0.,0.,0.,0
0.02001953,-0.03222656,-1.00195312,0.,0.,0.,0
0.02050781,-0.03222656,-0.99902344,0.,0.,0.,0
0.02197266,-0.03271484,-1.00048828,0.,0.,0.,0
0.02246094,-0.03173828,-0.99902344,0.,0.,0.,0
0.02148438,-0.03125,-0.99951172,0.,0.,0.,0
